Species,state
Afrogecko_sp_WDH1,1
Afroedura.karoica.PEM1112,1
Afroedura.loveridgei.GVH3969,1
Afrogecko.porphryus.AMB6020,1
Afrogecko.swartbergensis.JB47,1
Agamura.persica.FMNH247474,0
Ailuronyx.tachyscopaeus.MCZF38717,1
Ailuronyx.trachygaster.AMB8160,1
Aeleuroscalabotes.felinus,0
Alsophylax.pipiens.JEM917,0
Aprasia.parapulchella,0
Aristelliger.georgensis.JB101,1
Aristelliger.lar.JB01,1
Aristelliger.praesignis.USNM337563,1
Asaccus.platyrhynchus.CAS227605,1
Asaccus.sp.JB15,1
Bavayia.cyclura.AMB7683,1
Bavayia.geitaina.AMB7229,1
Bavayia.madjo.NR4162,1
Blaesodactylus.antogilli.ZCMV2187,1
Bogertia.lutzae.CHUNB50462,1
Briba.brasilianaMZUSP92493,1
Bunopus.tuberculatus.CAS228737,0
Calodactylodes.illingworthorn.AMB7415,1
Carphodactylus.laevis.AMS143258,0
Chondrodactylus.angulifer.MCZF38623,0
Chondrodactylus.bibronii.JV1850,1
Christinus.marmoratus.AMS135330,1
Cnemaspis.africana.FMNH251355,1
Cnemaspis.dickersonae.MTSN8604,1
Cnemaspis.kandiana.AMB7508,0
Cnemaspis.kendalii.LLG6562,0
Cnemaspis.limi.LLG6267,0
Cnemaspis.podihuna.AMB7449,0
Cnemaspis.uzungwe.MTSN5603,1
Coleodactylus.amazonicus.LSUMZ16400,1
Coleodactylus.brachystoma.MZUSP92569,1
Coleodactylus.meridionalis.CHUNB43901,1
Coleodactylus.septentrionalis.LSUMZ12351,1
Coleonyx.brevis,0
Coleonyx.mitratus.JFBM,0
Coleonyx.variegatus.CAS205334,0
Colopus.kochi.AMB6326,1
Colopus.wahlbergii.NMZ16974,1
Cosymbotus.platyurus.JFBM,1
Crenadactylus.ocellatus.AMS162089,1
Crossobamon.orientalis.ID7618,0
Cryptactites.peringueyi.AMB3883,1
Cyrtodactylus.angularis.FMNH265815,0
Cyrtodactylus.ayeyawardensis.CAS216446,0
Cyrtodactylus.irregularis.FMNH258697,0
Cyrtodactylus.jarujini.FMNH255472,0
Cyrtodactylus.novaeguinea.FK11689,0
Cyrtodactylus.philipinicus.FMNH236073,0
Cyrtopodion.caspius.CAS228602,0
Cyrtopodion.longipes.CAS226830,0
Cyrtopodion.scaber.JFBM,0
Delma.butleri,0
Delma.tincta.AMS151607,0
Dierogekko.insularis.R161069,1
Diplodactylus.conspicillatus.AMS158426,1
Diplodactylus.tesselatus.AMS143855,1
Lucasium.damaeum.AMB54,0
Lucasium.stenodactylum.AMS139897,1
Dixonius.siamensis.LLG7328,1
Dixonius.vietnamensis.FMNH263003,1
Ebenavia.inunguis.ZCMV2099,1
Elasmodactylus.tetensis.PEM5551,1
Eublepharis.macularius.JFBM,0
Euleptes.europaea,1
Eurydactylodes.agricolae.NR4146,1
Garthia.gaudichaudii,0
Geckoella.triedra.35A,0
Geckolepis.maculata.FGZC463,1
Gehyra.australis.AMS139934,1
Gehyra.dubia.AMS152245,1
Gehyra.mutilata.JFBM,1
Gehyra.nana.AMS140070,1
Gehyra.oceanica.FK11878,1
Gehyra.variegata.AMS140478,1
Gekko.chinensis.LLG4209,1
Gekko.gecko.JFBM,1
Gekko.grossmani.JFBM,1
Gekko.mindoroensis.RMB5006,1
Gekko.monarchus.PEMR5412,1
Gekko.subpalmatus.AMB5567,1
Gekko.ulikovskii.TG00095,1
Gekko.vittatus.FK10022,1
Goggia.lineata.AMB4762,1
Gonatodes.albogularis.MVZ204073,0
Gonatodes.annularis.FG,0
Gonatodes.caudiscutatus.KU218359,0
Gonatodes.ceciliae.TG00039,0
Gonatodes.concinnatus.LSUMZ12688,0
Gonatodes.daudini.JB38,0
Gonatodes.humeralis.MF19492,0
Gonatodes.imbaimadai.BPN1303,0
Gonatodes.ocellatus.TG00038,0
Gonatodes.vittatus.TG00040,0
Goniurosaurus.araneus.JFBM,0
Goniurosaurus.luii.JFBM,0
Gymnodactylus.geckoides.CHUNB38646,0
Haemodracon.reibecki.JB11,1
Hemidactylus.angulatus.MVZ245438,1
Hemidactylus.fasciatus.ROM,1
Hemidactylus.flavivirdus.FMNH245515,1
Hemidactylus.frenatus.JFBM,1
Hemidactylus.greefi.CAS219044,1
