Taxon	Length	Wing	Tail	Tarsus	Toe	Bill L	Bill W	Bill D
Icterus_auratus	191.0	95.5	86.5	23.79	16.63	21.07	9.12	8.87
Icterus_auricapillus	179.8	91.5	84.8	21.91	17.11	21.75	8.45	7.74
Icterus_bonana	175.0	88.0	81.0	23.59	16.21	24.71	9.09	8.49
Icterus_chrysater	203.5	92.8	94.5	25.56	19.74	24.75	10.20	10.61
Icterus_cucullatus	190.0	89.0	85.5	22.93	16.78	23.23	9.21	7.38
Icterus_dom_northropi	225.0	104.0	110.0	24.28	20.11	22.97	8.77	7.52
Icterus_galbula	177.1	94.3	73.5	23.60	16.38	20.05	8.01	8.44
Icterus_graduacauda	210.0	100.0	99.0	27.42	18.78	25.32	11.91	11.75
Icterus_gularis	234.0	112.5	100.0	29.90	21.44	27.56	12.76	13.59
Icterus_icterus	226.0	105.5	95.0	29.05	20.92	27.56	10.93	10.19
Icterus_jamacaii	217.0	111.0	97.0	30.15	23.13	26.51	10.65	10.98
Icterus_laudabilis	203.5	100.5	95.0	25.57	18.31	25.35	9.61	10.59
Icterus_leucopteryx	192.0	102.0	84.0	24.30	17.50	24.30	11.20	10.90
Icterus_maculialatus	204.0	103.0	96.0	24.58	16.49	23.18	8.88	8.25
Icterus_mesomelas	204.5	94.5	96.5	29.84	21.12	24.65	9.37	9.64
Icterus_nigrogularis	195.1	93.5	83.9	25.69	16.25	23.43	10.01	10.97
Icterus_oberi	202.0	94.5	93.5	25.92	18.54	27.19	9.97	9.96
Icterus_parisorum	207.0	102.0	84.0	24.77	19.11	25.54	8.99	8.35
Icterus_pectoralis	207.5	104.5	92.0	28.77	19.56	24.20	11.40	9.89
Icterus_prosthemelas	191.0	85.0	90.0	23.00	16.40	23.10	8.10	8.00
Icterus_pustulatus	200.0	103.0	84.0	24.37	17.82	24.81	10.01	10.13
Icterus_spurius	157.0	77.0	66.0	22.77	14.97	18.94	6.49	6.26
Icterus_wagleri	238.0	106.0	109.0	26.17	21.29	26.46	8.91	8.40
