Taxon	 culmen_upper	 culmen_lower	depth	width	hook	Length	tail	 ratchis	wing_chord	primary_ext	tarsus	Tarsus_thicknes	hindclaw_depth	hindclaw_length	central_claw				
Agelaius_phoeniceus	25.9	21.93	9.56	6.5	0.53		80	0.56	127	23.9	29.81	1.72	1.87	9.11	7.46				
Agelaius_tricolor	23.8	12.8	8.09	5.57	0.4	215	84	0.68	123	28.09	29.11	1.73	1.97	9.53	7.66				
Agelaius_humeralis	18.87	11.66	6.81	4.6	0.97	172	72	0.58	100	19.43	19.85	1.42	1.54	5.42	4.75				
Euphagus_cyanocephalu	24.1	14.45	7.81	5.83	0.52	218	96	0.74	130	28.55	30.37	1.32	1.81	8.21	5.54				
Quiscalus_quiscula	34.13	21.48	11.33	8	2.56	311	131	0.94	147	27.2	34.48	2.2	2.36	9.45	6.26				
Quiscalus_mexicanus	44.85	28.5	12	8.74	3.64		193	1.05	188	56.7	52.6	3.17	3.16	12.94	10.66				
Molothrus_aeneus	24.55	13.54	10.5	7.1	0.89	216	82	0.62	121	19.36	28.96	2.23	2.06	8.94	7.48				
Molothrus_ater	20.67	10.87	8.37	6.32	0.55	193	73	0.4	113	26.7	26.74	1.73	1.91	7.8	5.91				
Molothrus_bonariensis	24.18	14.13	9.29	6.63	1.16	217	75	0.52	116	26.68	27.75	1.96	2.02	7.51	6.49				
Scaphidura_oryzivora	36.71	18.53	12.48	8.67	1.54	355	130	0.93	179	41.16	43.03	2.98	3.25	12.81	10.06				
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
