"","X","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"Cannomys_badius","  31","Rodentia","Spalacidae","Cannomys","badius","Cannomys badius","-999"," 472.07","-999","-999.00","-999.00","-999.00"," 172.00"," 344.00","-999","-999.00","  41.49","-999","-9.990000e+02","-9.990000e+02","-999.00","   2.00","-999.00","  48.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","-999","-999","  50.10","-999.00","-999.00","543;1297;1822;2655","-999.00","-999.00","-999","-999.00","  818286.00"," 2.785000e+01","  11.82","  19.83"," 105.88","  84.65","  95.26","   4","  86.50","   9.0"," 7.000000e-02"," 159.67"," 213.64","1063.45","1473.54"
"Calomys_callosus"," 100","Rodentia","Cricetidae","Calomys","callosus","Calomys callosus","-999","  44.95","-999","-999.00","-999.00","  42.00","  55.82","  48.00","-999","-999.00","  21.80","   2","-9.990000e+02","-9.990000e+02","  21.00","   4.91","   3.00","-999.0","   2.40","-999.00","  354.30","-999.0","  43.18","-999.00","-999","   1","-999","  18.33","  12.05","-999.00","730;786;890;1297;1822;2655","-999.00","-999.00","-999","-999.00","    -999.00","-9.990000e+02","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.0","-9.990000e+02","-999.00","-999.00","-999.00","-999.00"
"Calomys_lepidus"," 104","Rodentia","Cricetidae","Calomys","lepidus","Calomys lepidus","-999","  20.59","-999","-999.00","-999.00","-999.00","  28.80","  16.00","-999","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","  20.75","   4.29","-999.00","-999.0","   2.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","   1","-999","-999.00","-999.00","-999.00","890;1297;1822;2655","-999.00","   4.69","-999","-999.00","  593465.10","-9.220000e+00"," -23.53"," -16.37"," -64.61"," -76.61"," -70.61","   0","  15.44","   0.0"," 6.000000e-02","  74.28","  67.19"," 667.13","1296.93"
"Calomys_venustus"," 109","Rodentia","Cricetidae","Calomys","venustus","Calomys venustus","-999","  49.33","-999","-999.00","-999.00","-999.00","  70.78","  49.50","-999","-999.00","-999.00","-999","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","-999","-999","-999.00","-999.00","-999.00","1822","-999.00","-999.00","-999","-999.00","    -999.00","-9.990000e+02","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.0","-9.990000e+02","-999.00","-999.00","-999.00","-999.00"
"Calomyscus_baluchi"," 111","Rodentia","Calomyscidae","Calomyscus","baluchi","Calomyscus baluchi","-999","-999.00","-999","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","-999","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","-999","-999","-999.00","-999.00","-999.00","-999","-999.00","-999.00","-999","-999.00","   29169.13"," 3.511000e+01","  29.10","  32.11","  69.67","  67.12","  68.40","  27","  96.98","  28.0"," 3.100000e-01","  31.18","  63.53"," 319.05","1137.82"
"Auliscomys_sublimis"," 126","Rodentia","Cricetidae","Auliscomys","sublimis","Auliscomys sublimis","-999","  38.00","-999","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","   1","-999","-999.00","-999.00","-999.00","890;2655","-999.00","-999.00","-999","-999.00","  497531.43","-1.340000e+01"," -24.79"," -19.09"," -64.22"," -73.34"," -68.78","   0","  13.30","   0.0"," 6.000000e-02","  62.02","  38.57"," 591.15","1268.04"
"Bandicota_bengalensis"," 143","Rodentia","Muridae","Bandicota","bengalensis","Bandicota bengalensis","-999"," 226.99","-999","-999.00","-999.00","  91.25","-999.00","-999.00","-999","-999.00","  18.89","-999","-9.990000e+02","-9.990000e+02","  61.90","   7.29","   5.90","-999.0","   4.85","  47.00"," -999.00","-999.0","  63.52","-999.00","-999","-999","-999","  30.03","  22.90","-999.00","456;1297;2655","-999.00","-999.00","-999","-999.00"," 3698085.54"," 3.420000e+01","   5.91","  20.06","  97.54","  66.50","  82.02","   0"," 320.61","  24.0"," 9.000000e-02"," 107.29"," 236.14"," 810.44","1418.33"
"Cricetulus_migratorius"," 236","Rodentia","Cricetidae","Cricetulus","migratorius","Cricetulus migratorius","-999","  30.59","-999","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","  12.00","-999","-9.990000e+02","-9.990000e+02","-999.00","   5.20","   2.00","-999.0","-999.00","-999.00","  221.44","-999.0","-999.00","-999.00","-999","-999","-999","  24.50","-999.00","-999.00","730;1297;2655","-999.00","-999.00","-999","-999.00","10345012.78"," 5.696000e+01","  28.07","  42.51"," 111.43","  25.08","  68.25","   0","  33.66","   0.0"," 5.000000e-02","  24.91","  63.96"," 279.95"," 726.56"
"Cricetus_cricetus"," 238","Rodentia","Cricetidae","Cricetus","cricetus","Cricetus cricetus","-999"," 428.95","-999","-999.00","-999.00","  91.25"," 231.68"," 362.00","-999","-999.00","  19.50","-999","-9.990000e+02","-9.990000e+02"," 131.40","   7.14","   2.00","  48.0","   4.71","-999.00"," -999.00","-999.0","  86.48","-999.00","-999","-999","-999","  24.85","  87.47","-999.00","543;1297;1822;2655","-999.00","-999.00","-999","-999.00"," 6712427.93"," 6.152000e+01","  41.69","  51.60","  95.38","   2.53","  48.95","   0","  45.61","   1.0"," 4.130075e-03","  37.91","  35.60"," 392.13"," 499.88"
"Delomys_dorsalis"," 366","Rodentia","Cricetidae","Delomys","dorsalis","Delomys dorsalis","   3","  67.50","-999","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   1","-9.990000e+02","-9.990000e+02","-999.00","-999.00","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","   1","-999","-999.00","-999.00","-999.00","905;2655","-999.00","-999.00","-999","-999.00","   91990.81","-2.223000e+01"," -29.90"," -26.07"," -42.05"," -53.15"," -47.60","   5"," 208.14","  12.0"," 6.000000e-02"," 144.21"," 175.06","1202.50","1311.94"
