"","X","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"28",28,"Rodentia","Muridae","Brachiones","przewalskii","Brachiones przewalskii",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,940177.9,42.86,35.46,39.16,102.85,77.15,90,0,5.36,0,0.05,17.27,68.34,79.67,681.81
"31",31,"Rodentia","Spalacidae","Cannomys","badius","Cannomys badius",-999,472.07,-999,-999,-999,-999,172,344,-999,-999,41.49,-999,-999,-999,-999,2,-999,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.1,-999,-999,"543;1297;1822;2655",-999,-999,-999,-999,818286,27.85,11.82,19.83,105.88,84.65,95.26,4,86.5,9,0.07,159.67,213.64,1063.45,1473.54
"32",32,"Rodentia","Cricetidae","Cansumys","canus","Cansumys canus",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,267130.76,35.6,31.09,33.34,115.62,102.25,108.94,4,218.11,8,0.06,58.53,103.16,742.53,877.6
"60",60,"Rodentia","Echimyidae","Callistomys","pictus","Callistomys pictus",-999,518.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2655",-999,-999,-999,-999,37773.91,-11.33,-13.77,-12.55,-37.36,-39.75,-38.55,17,211.59,20,0.08,123.66,239.11,1250.37,1682.91
"83",83,"Rodentia","Sciuridae","Callosciurus","adamsi","Callosciurus adamsi",3,208.72,-999,203.5,-999,-999,-999,-999,6,-999,-999,1,-999,-999,-999,1.94,-999,-999,-999,-999,-999,-999,-999,-999,5,2,2,-999,-999,-999,"1297;2152;2655",-999,-999,-999,-999,30384.46,5.47,2.22,3.84,117.88,113.3,115.59,1,9.09,1,0.16,287.63,235.52,1719.17,1747.03
"84",84,"Rodentia","Sciuridae","Callosciurus","albescens","Callosciurus albescens",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,432350.65,5.65,-5.94,-0.14,106.08,95.18,100.63,20,92.24,28,0.14,229.28,252.45,1697.6,1774.17
"85",85,"Rodentia","Sciuridae","Callosciurus","baluensis","Callosciurus baluensis",3,323.91,-999,203.5,-999,-999,-999,-999,6,-999,-999,1,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,5,2,2,-999,-999,-999,"2152",-999,-999,-999,-999,20853.19,6.26,3.48,4.87,117.07,114.56,115.82,3,18.16,3,0.26,271.96,226.05,1790.43,1858.35
"86",86,"Rodentia","Sciuridae","Callosciurus","caniceps","Callosciurus caniceps",-999,264.91,-999,211.08,-999,-999,-999,-999,-999,-999,-999,1,0.01,0.01,-999,2.19,-999,114,-999,-999,18.6,-999,-999,-999,-999,2,-999,-999,-999,-999,"32;730;1297;1971;2530;2655;2844",-999,-999,-999,-999,420861.69,20.24,2.65,11.44,103.04,97.69,100.36,3,112.44,8,0.08,183.7,249.01,1283.38,1697.82
"87",87,"Rodentia","Sciuridae","Callosciurus","erythraeus","Callosciurus erythraeus",-999,283.23,-999,211.93,-999,-999,-999,-999,3,-999,-999,1,0.008950755,0.008781353,-999,1.94,2,193.2,-999,-999,622.69,-999,-999,-999,-999,2,1,-999,-999,-999,"32;543;1297;1573;1971;2584;2655;2799;2844",-999,-999,-999,-999,2354368.13,31.76,6.6,19.18,122.13,88.61,105.37,1,206.18,5,0.08,142.62,188.9,1101.79,1352.84
"88",88,"Rodentia","Sciuridae","Callosciurus","finlaysonii","Callosciurus finlaysonii",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,-999,-999,-999,-999,"32",-999,-999,-999,-999,723854.08,20.23,8.55,14.39,108.18,97.26,102.72,2,114.64,7,0.1,161.37,250.25,1131.43,1592.3
