	Upper_mandible	nostril_tip	Lower_Mandible	Depth	Width	Hook
Agelaius_cyanopus	25.22166667	16.61833333	14.62666667	7.203333333	5.33	0.9125
Agelaius_icterocephal	20.87666667	13.53666667	11.825	6.461666667	5.055	0.695
Agelaius_ruficapillus	20.11333333	12.925	11.31333333	7.371666667	5.35	0.676
Agelaius_thilius	25.17166667	16.48	14.52833333	6.873333333	4.576666667	0.723333333
Agelaius_xanthophthal	27.15	18.45	16.41	8.01	5.38	1.49
Curaeus_curaeus	36.18166667	22.62	19.865	9.336666667	6.99	0.723333333
Gnorimopsar_chopi	25.74142857	16.08714286	13.77	8.812857143	6.168571429	1.058571429
Gymnomystax_mexicanus	32.158	22.284	19.138	10.044	6.614	1.724
Lampropsar_tanagrinus	23.48	13.604	12.18	7.486	5.218	1.58
Macroagelaius_imthurn	32.075	18.935	17.555	8.1125	5.725	0.9325
Molothrus_badius	20.14	12.07166667	10.60833333	8.041666667	5.355	0.925
Oreopsar_bolivianus	26.23	16.17	13.04	9.7	7.025	1.78
Pseudoleistes_guirahu	30.65333333	20.06833333	17.48333333	9.538333333	6.473333333	0.916666667
Pseudoleistes_viresce	31.60625	20.5075	18.1325	8.3	6.14375	0.6725
Agelaius_flavus	25.14666667	15.94	14.15333333	6.625	4.876666667	0.668333333
