Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-6501.66	-6431.2	-70.4601	23.3081	11.2	0.4109167	0.3679064	0.0105281	0.0285941	0.00128277	0.000269344	0.0157805	0.0164272	0.0693916	0.0298632	0.0222997	0.0198174	0.0479745	0.0182564	0.0103828	0.00752948	0.00471878	0.0469719	0.0190034	0.101383	0.0147479	0.0541212	0.0019882	0.00842727	0.0112632	0.0228848	0.0104422	0.0168847	0.0029737	0.0116189	0.0110084	0.0138989	0.000846618	0.00316011	0.0122295	0.0316932	0.0238536	0.00227269	0.00640104	0.000926414	0.060518	0.00518399	0.05104	0.00951953	0.02133377	0.6737786	0.2632422	0.282122	0.0927666	0.385185	0.0157594	0.0839201	0.140247	0.02681818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.44921	0.254445	0.0183203	0.189863	0.742828	3.04899	0.0123697	0.157408	0.694078	3.13615	0.360167	0.436978	0.0794929	0.123362	0.2900603	13.65	0.012	4.9	7.75	33.9	11.2	0.027	1.8	20	4.9	4.9	5.8	13.7	15.97	0.09245725
100	-4134.83	-4164.08	29.2495	31.01609	11.67926	0.1990354	1.737159	0.000450831	0.00740695	0.0122127	0.00832356	0.00550252	0.00792038	0.00896043	0.00867995	0.0156659	0.00790743	0.0151512	0.00741499	0.00589263	0.0283785	0.000854453	0.000996798	0.0194506	0.0220685	0.00560701	0.0150372	0.0089053	0.00490675	0.0373142	0.0405498	0.010637	0.0311162	0.00162104	0.000588507	0.000581733	0.0351247	0.0208686	0.00195919	0.00333862	0.00150978	0.00710852	0.000296162	0.000688549	0.040798	0.00430629	0.0487243	0.00466285	0.0226611	0.01266272	0.04071977	0.04356655	0.0113171	0.516432	0.0106619	0.00897739	0.448534	0.00407822	0.2180503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	44.84681	0.07323222	0.000513717	0.0332208	0.381136	3.58513	0.259745	0.623797	1.06177	2.05469	0.297872	0.290709	0.136675	0.274743	0.2616169	15.9554	0.238687	9.60708	8.64394	37.1603	11.6793	0.0738039	5.28309	22.4776	5.31707	9.08771	8.11817	21.8574	16.514	0.8334719
200	-4120.48	-4155.76	35.278	30.11988	11.58917	0.1578892	0.6275187	0.0145287	0.00507942	0.00315246	0.00301263	0.0151638	0.00335011	0.0106266	0.00309011	0.0181341	0.0113521	0.0082053	0.0171231	0.0094173	0.0334547	0.000746444	0.00728511	0.00826926	0.00207288	0.00686912	0.00702474	0.00702806	0.00826448	0.0267264	0.0391371	0.00331208	0.0302493	0.012428	0.0119298	0.0199536	0.0119506	0.00972299	0.0025172	0.00308095	0.00548044	0.0013465	0.0269277	0.00130461	0.00499191	0.0232749	0.000834157	0.0080963	0.00876221	0.009578295	0.02880045	0.06858868	0.0106169	0.512637	0.00611043	0.00999862	0.459485	0.00115239	0.04966862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	41.03578	0.06957429	8.41323e-05	0.013535	0.265472	3.72091	0.0588288	0.327227	0.894734	2.71921	0.284723	0.304729	0.135099	0.275449	0.1182573	14.5032	2.22594	7.33441	8.23061	37.1959	11.5892	0.0738039	5.26143	22.0152	7.43832	9.68307	7.81841	22.7721	16.8785	0.4200047
300	-4130.78	-4144.56	13.7755	29.187	11.39212	0.1854204	1.90141	0.0174616	0.00787984	0.00131253	0.0322764	0.0315609	0.0156074	0.00972553	0.0054613	0.0301133	0.00476937	0.00837082	0.0199205	0.0876429	0.0467587	0.00343388	0.000404823	0.0171719	0.0188414	0.00809567	0.0386325	0.0123475	0.0208173	0.0102102	0.00585086	0.0206446	0.0252887	0.014792	0.0291353	0.00442963	0.0300926	0.0112996	0.0171777	0.00256863	0.00702764	0.00675144	0.0422969	0.0503317	0.0157233	0.0190224	0.025794	0.0281402	0.0283366	0.01501245	0.03681779	0.02745142	0.00762455	0.605139	0.00548507	0.00516366	0.371427	0.00516092	0.1646867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	52.47213	0.06112677	0.000308619	0.0258105	0.34455	3.62933	0.281215	0.644103	1.06731	2.00737	0.275774	0.300216	0.130147	0.293863	0.1921381	13.8732	2.42914	5.37824	8.6789	37.1035	11.3921	0.201326	5.19042	22.0304	7.07592	7.36953	6.94202	22.2165	16.8988	0.8571266
400	-4114.45	-4148.44	33.9901	18.35837	11.77284	0.1761588	0.2125109	0.00269069	0.00993103	0.0156933	0.00306647	0.042855	0.00188876	0.00464125	0.00617214	0.015186	0.00852184	0.0176839	0.0107865	0.00973575	0.023634	0.0144193	0.000627435	0.0270173	0.029025	0.0141817	0.00472559	0.00221638	0.0160132	0.00575191	0.0103609	0.00169657	0.02701	0.0264637	0.00400971	0.00294888	0.00270012	0.0221646	0.0490165	0.0085178	0.0169072	0.00106863	0.0186512	0.0153965	0.00349367	0.0125274	0.037322	0.00569558	0.0139022	0.01389321	0.01570947	0.004700011	0.0136243	0.550196	0.00544163	0.0185813	0.410812	0.00134473	0.1014508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	51.69428	0.0465886	0.000208583	0.0212517	0.318652	3.65989	0.000797562	0.0412904	0.415515	3.5424	0.296379	0.301775	0.125971	0.275875	0.1061508	13.8732	1.02668	6.89141	8.40989	36.1111	11.7728	0.130663	4.22635	21.4297	6.61496	9.32471	6.14011	19.2268	16.7387	0.9557233
500	-4110.82	-4142.02	31.2037	45.15563	11.35186	0.1676341	0.7907489	0.0245929	0.0119981	0.00992215	0.00125182	0.0154061	0.00131362	0.00401156	0.00433544	0.0106916	0.00225086	0.00686577	0.014593	0.00783242	0.0138842	0.0127866	0.000110108	0.0114826	0.0171769	0.0107543	0.00411266	0.00210367	0.0119886	0.00469705	0.00445997	0.00933651	0.00297231	0.0172363	0.00328635	0.00265005	0.00417497	0.0307054	0.000375463	0.000292124	0.0112714	0.00377191	0.0636194	0.00185172	0.0019329	0.00668154	0.000979543	0.0377032	0.00243022	0.0105703	0.01662831	0.01676213	0.014211	0.553251	0.00873691	0.00393921	0.414271	0.0055917	0.06274912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	54.66986	0.02729261	0.000139962	0.017432	0.294154	3.68827	0.0935887	0.403383	0.954358	2.54867	0.312157	0.284447	0.129224	0.274171	0.07951124	13.8455	2.58359	9.6966	8.6342	37.1611	11.3519	0.24316	5.21488	20.3251	7.20446	6.95039	8.08266	16.4968	16.8842	0.7891854
600	-4129.87	-4156.76	26.8904	36.70006	11.76663	0.1786016	1.891108	0.00202199	0.0154018	0.00776266	0.00637568	0.0144516	0.0108062	0.00266391	0.00250723	0.0126389	0.000783085	0.00456734	0.0119834	0.00135771	0.0220904	0.0111156	0.00297409	0.00375653	0.00267778	0.018015	0.0195408	0.000247337	0.00272422	0.000865366	0.06271	0.0114058	0.00726262	0.00523159	0.0106285	0.00681016	0.00651552	0.0129039	0.00790988	0.00059043	0.00658147	0.000100428	0.036904	0.00622728	0.000118069	0.00850118	0.00637882	0.00997697	0.00403491	0.009960912	0.01545224	-0.002160964	0.00891566	0.439887	0.00903929	0.00108966	0.507839	0.033229	0.1054112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	51.67685	0.01348962	0.000232206	0.0224139	0.325559	3.6518	0.27992	0.642911	1.06701	2.01016	0.293882	0.309432	0.137353	0.259333	0.1032502	14.3488	2.08399	9.65362	8.63852	37.1622	11.7666	0.24316	5.27733	20.5555	7.71351	5.41798	7.0494	15.488	16.7219	1.020929
700	-4139.43	-4158.7	19.2631	33.2099	11.79971	0.1728831	0.5878676	0.0170106	0.00867696	0.0186018	0.00487733	0.0444915	0.0182085	0.0194233	0.00447055	0.0163095	0.00913	0.00876335	0.0085044	0.00470526	0.0286687	0.0204452	0.00202154	0.0141273	0.0413257	0.0127094	0.0146968	0.00405099	0.00019922	0.000382303	0.00662949	0.00330494	0.0298039	0.00142622	0.0065053	0.00485589	0.00655165	0.0120981	0.00252311	0.00455504	0.042863	0.00020963	0.0466984	0.0292744	0.000397123	0.0238665	0.0205933	0.0264262	0.0135267	0.0135157	0.01544849	-0.03787016	0.00911727	0.648229	0.00949801	0.00111747	0.330742	0.00129609	0.1483267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	47.29904	0.05591088	0.000179773	0.01974	0.30931	3.67077	0.0506158	0.305461	0.875001	2.76892	0.298255	0.310414	0.132731	0.258601	0.1104565	14.9164	1.78926	9.26247	8.69194	37.1913	11.7997	0.222313	4.70678	21.2823	5.61761	5.32375	8.04937	21.6701	16.6345	1.342851
800	-4108.82	-4156.99	48.1619	37.56219	11.79669	0.1672892	0.3370058	0.00242551	0.00965021	0.00520054	0.00666775	0.0162744	0.0188739	0.00764889	0.00537891	0.0149874	0.00306846	0.00524697	0.0093861	0.00236464	0.0221164	0.00458545	3.69169e-05	0.00156598	0.0293992	0.00599526	0.000996468	0.000587711	2.31241e-05	0.00739113	0.0121272	0.0232422	0.0159936	0.00115638	0.0134906	0.0056324	0.00382799	0.00863273	0.00157678	0.0108844	0.00722958	0.000425981	0.0187369	0.0349782	0.000207803	0.0148232	0.0183023	0.000495364	0.00950207	0.008192866	0.02815877	0.03363599	0.00903619	0.569979	0.00884515	0.0126892	0.398625	0.000826037	0.08601337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	40.32288	0.03397158	0.000137603	0.0172854	0.293151	3.68943	0.00877133	0.133424	0.653024	3.20478	0.296833	0.316721	0.127524	0.258922	0.1196494	14.352	1.40004	9.69434	8.69501	36.5909	11.7967	0.173306	5.22376	22.3509	7.4302	6.53696	8.1422	13.994	16.8735	0.7188786
900	-4113.13	-4153.79	40.6562	31.6454	11.39999	0.1577871	1.253845	0.0148691	0.0112246	0.0187967	0.00125472	0.00191964	0.00358894	0.011334	0.00274494	0.0132559	0.00525763	0.0106293	0.0138913	0.0139938	0.0360089	0.014438	0.00126717	0.000375831	0.0120926	0.0197449	0.0310253	0.00841276	0.00121724	0.00160987	0.0104461	0.00516258	0.0200352	0.00141253	0.004388	0.0235382	0.0457706	0.00518602	0.0154664	0.020288	0.00522952	0.0372894	0.0106596	0.00160412	0.00744048	0.0198335	0.00162106	0.00350534	0.050644	0.01190953	0.04333187	0.05788331	0.00937743	0.5173	0.0109111	0.00240797	0.451554	0.00844956	0.09708363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	39.87535	0.0771062	8.36568e-05	0.0134969	0.265169	3.72125	0.184675	0.541701	1.03198	2.24165	0.281879	0.318381	0.139843	0.259897	0.1549669	15.9665	1.40339	9.64964	8.63215	37.0861	11.4	0.246601	4.58643	20.9813	5.69412	9.69898	8.12179	22.7924	16.7248	0.6264796
